label,sample,time_step,x,y,z
0,1,0,-8.9283,304.45,-18.469
0,1,1,-9.1475,304.36,-18.585
0,1,2,-9.8688,304.32,-18.896
0,1,3,-11.69,303.81,-19.305
0,1,4,-14.821,302.69,-19.284
0,1,5,-19.585,300.62,-19.579
0,1,6,-25.511,295.96,-19.006
0,1,7,-31.59,287.91,-18.021
0,1,8,-36.297,275.38,-19.003
0,1,9,-37.797,264.15,-18.385
0,1,10,-37.07,252.71,-17.931
0,1,11,-35.457,244.3,-17.759
0,1,12,-31.162,231.87,-17.103
0,1,13,-25.458,221.83,-17.138
0,1,14,-18.214,215.3,-17.494
0,1,15,-9.0252,212.38,-18.352
0,1,16,-0.01657,211.87,-19.287
0,1,17,9.0706,215.86,-20.883
0,1,18,15.807,221.91,-22.263
0,1,19,20.268,231.92,-22.562
0,1,20,21.856,244.28,-22.473
0,1,21,19.549,258.0,-22.412
0,1,22,14.754,270.96,-20.791
0,1,23,8.4842,283.29,-20.015
0,1,24,3.658,291.08,-19.836
0,1,25,-3.7522,298.97,-19.403
0,1,26,-9.9855,303.88,-18.656
0,1,27,-14.718,306.53,-18.428
0,1,28,-16.999,306.99,-18.273
0,1,29,-17.882,306.96,-18.303
0,1,30,-18.14,306.52,-18.437
0,1,31,-18.083,305.79,-18.846
0,2,0,5.216,284.05,-31.627
0,2,1,4.4335,284.87,-31.421
0,2,2,3.4104,285.68,-31.043
0,2,3,1.551,286.39,-30.725
0,2,4,-1.2075,286.64,-30.478
0,2,5,-5.5211,285.22,-30.335
0,2,6,-11.398,281.88,-30.661
0,2,7,-19.002,276.43,-31.177
0,2,8,-26.846,267.05,-32.041
0,2,9,-32.329,253.61,-34.131
0,2,10,-35.064,239.14,-35.796
0,2,11,-35.833,225.02,-35.09
0,2,12,-35.105,217.13,-34.633
0,2,13,-31.757,203.76,-33.687
0,2,14,-25.859,191.94,-32.46
0,2,15,-17.175,181.41,-31.241
0,2,16,-6.7922,173.9,-30.547
0,2,17,4.6753,170.26,-29.786
0,2,18,8.5802,169.55,-29.453
0,2,19,25.21,170.79,-28.257
0,2,20,34.316,175.84,-28.797
0,2,21,40.5,184.7,-28.818
0,2,22,44.841,197.97,-29.461
0,2,23,45.836,206.89,-29.406
0,2,24,44.772,225.02,-29.737
0,2,25,40.054,240.0,-30.356
0,2,26,33.266,253.44,-30.902
0,2,27,25.735,265.81,-32.774
0,2,28,17.734,276.22,-31.817
0,2,29,11.542,282.63,-31.478
0,2,30,6.2528,286.89,-30.717
0,2,31,2.3998,288.97,-30.636
0,2,32,-0.29569,290.26,-30.352
0,2,33,-1.3363,290.37,-30.365
0,3,0,-18.936,532.37,-50.688
0,3,1,-18.736,532.44,-50.385
0,3,2,-18.451,533.21,-49.765
0,3,3,-18.368,533.18,-49.683
0,3,4,-18.266,533.26,-49.593
0,3,5,-18.127,533.43,-49.436
0,3,6,-18.043,533.29,-49.468
0,3,7,-18.025,533.15,-49.472
0,3,8,-17.967,532.96,-49.554
0,3,9,-17.852,532.65,-49.608
0,3,10,-17.534,532.73,-49.426
0,3,11,-17.427,532.73,-49.424
0,3,12,-16.727,534.13,-48.84
0,3,13,-15.938,536.42,-47.753
0,3,14,-15.674,536.99,-47.765
0,3,15,-15.466,537.28,-47.725
0,3,16,-15.223,537.4,-47.74
0,3,17,-14.739,537.94,-48.686
0,3,18,-14.447,537.73,-48.834
0,3,19,-14.094,537.46,-48.546
0,3,20,-13.988,537.21,-48.592
0,3,21,-13.988,537.21,-48.592
0,3,22,-13.848,537.16,-48.621
0,3,23,-13.816,537.37,-48.516
0,3,24,-14.248,539.31,-47.963
0,3,25,-15.619,538.89,-47.84
0,3,26,-17.346,538.78,-48.478
0,3,27,-19.774,538.78,-48.85
0,3,28,-22.245,538.89,-48.619
0,3,29,-26.189,538.58,-50.465
0,3,30,-30.742,536.14,-53.364
0,3,31,-34.08,535.33,-53.94
0,3,32,-39.75,538.76,-53.575
0,3,33,-46.224,540.09,-57.296
0,3,34,-51.85,538.45,-60.36
0,3,35,-55.539,537.61,-60.326
0,3,36,-59.477,536.77,-58.397
0,3,37,-64.884,531.24,-59.827
0,3,38,-68.905,527.51,-62.618
0,3,39,-76.072,521.35,-64.488
0,3,40,-79.37,517.3,-65.382
0,3,41,-82.77,507.73,-66.147
0,3,42,-88.135,502.23,-67.391
0,3,43,-91.169,497.06,-65.873
0,3,44,-94.9,491.03,-66.36
0,3,45,-98.835,486.43,-65.77
0,3,46,-100.8,482.52,-64.764
0,3,47,-103.62,476.99,-61.446
0,3,48,-105.98,469.65,-59.635
0,3,49,-109.66,464.51,-56.664
0,3,50,-112.71,455.92,-54.797
0,3,51,-115.02,450.97,-53.262
0,3,52,-116.73,447.73,-51.604
0,3,53,-120.11,437.97,-49.781
0,3,54,-121.91,431.3,-49.977
0,3,55,-123.01,423.23,-50.809
0,3,56,-125.34,415.56,-51.665
0,3,57,-127.98,405.16,-53.237
0,3,58,-130.08,400.07,-51.604
0,3,59,-131.73,392.71,-49.869
0,3,60,-132.68,385.76,-49.455
0,3,61,-134.09,375.9,-49.381
0,3,62,-135.49,367.68,-49.086
0,3,63,-137.61,361.35,-46.717
0,3,64,-138.24,359.04,-45.985
0,3,65,-139.51,346.48,-43.965
0,3,66,-139.59,337.78,-43.174
0,3,67,-140.42,327.22,-43.575
0,3,68,-140.91,323.22,-43.081
0,3,69,-141.5,316.21,-42.231
0,3,70,-141.43,309.4,-41.931
0,3,71,-141.38,302.82,-39.988
0,3,72,-141.44,295.31,-39.47
0,3,73,-141.33,289.14,-38.606
0,3,74,-141.18,284.59,-37.141
0,3,75,-140.8,278.99,-35.549
0,3,76,-140.91,273.92,-34.592
0,3,77,-140.93,268.72,-34.057
0,3,78,-140.55,262.78,-32.7
0,3,79,-140.38,256.9,-32.22
0,3,80,-140.06,250.9,-31.982
0,3,81,-139.37,244.44,-31.397
0,3,82,-138.95,238.66,-31.128
0,3,83,-138.42,233.27,-30.833
0,3,84,-137.98,227.07,-31.145
0,3,85,-137.01,220.49,-30.434
0,3,86,-135.74,214.7,-29.372
0,3,87,-134.59,208.5,-28.083
0,3,88,-133.21,202.54,-27.263
0,3,89,-131.64,196.61,-27.363
0,3,90,-129.78,190.06,-26.847
0,3,91,-127.68,184.93,-26.017
0,3,92,-125.7,180.75,-25.202
0,3,93,-124.05,176.43,-24.735
0,3,94,-122.01,173.2,-23.798
0,3,95,-119.76,170.11,-22.794
0,3,96,-116.92,166.94,-22.797
0,3,97,-114.73,163.11,-23.134
0,3,98,-112.75,160.16,-23.389
0,3,99,-110.56,156.92,-24.007
0,3,100,-107.3,154.32,-22.382
0,3,101,-104.18,152.22,-21.222
0,3,102,-101.13,150.58,-20.061
0,3,103,-98.055,148.63,-18.789
0,3,104,-94.493,146.26,-18.602
0,3,105,-91.429,144.19,-18.063
0,3,106,-88.31,141.59,-17.403
0,3,107,-85.642,139.62,-16.804
0,3,108,-80.818,136.39,-16.085
0,3,109,-76.442,133.45,-15.533
0,3,110,-72.367,130.93,-14.797
0,3,111,-68.174,128.06,-13.924
0,3,112,-63.752,125.95,-13.286
0,3,113,-60.771,124.58,-13.026
0,3,114,-55.989,122.15,-11.659
0,3,115,-51.367,120.2,-10.836
0,3,116,-46.499,118.64,-10.458
0,3,117,-41.449,116.44,-10.678
0,3,118,-35.795,114.82,-10.783
0,3,119,-30.434,113.46,-10.349
0,3,120,-23.852,113.34,-10.404
0,3,121,-17.823,112.4,-8.3726
0,3,122,-11.408,112.1,-8.0632
0,3,123,-4.9358,110.59,-9.7531
0,3,124,0.19195,108.43,-10.37
0,3,125,6.351,107.58,-12.267
0,3,126,9.9447,106.97,-12.765
0,3,127,15.613,107.23,-12.507
0,3,128,21.488,106.98,-11.766
0,3,129,27.421,107.84,-10.79
0,3,130,33.34,109.61,-10.252
0,3,131,39.216,111.58,-9.749
0,3,132,44.545,113.35,-9.2248
0,3,133,50.59,115.9,-9.241
0,3,134,56.777,118.14,-8.7772
0,3,135,61.467,121.33,-8.8747
0,3,136,68.938,125.01,-7.6395
0,3,137,73.211,129.28,-7.666
0,3,138,78.07,133.48,-7.7862
0,3,139,81.247,136.18,-8.2695
0,3,140,86.288,142.46,-9.2266
0,3,141,90.09,146.39,-9.879
0,3,142,93.144,150.18,-11.058
0,3,143,96.576,154.1,-12.264
0,3,144,100.24,158.46,-13.197
0,3,145,103.9,162.87,-13.748
0,3,146,106.95,167.14,-14.148
0,3,147,110.3,172.09,-15.217
0,3,148,113.33,177.18,-16.386
0,3,149,117.24,182.93,-17.532
0,3,150,120.04,188.67,-18.463
0,3,151,120.04,188.67,-18.463
0,3,152,126.53,202.71,-21.14
0,3,153,129.19,208.14,-22.51
0,3,154,131.31,214.48,-24.001
0,3,155,133.04,221.61,-25.382
0,3,156,135.09,229.08,-27.0
0,3,157,137.26,236.25,-28.468
0,3,158,139.04,244.24,-29.517
0,3,159,140.44,252.85,-30.792
0,3,160,141.31,262.14,-31.921
0,3,161,142.01,270.78,-32.889
0,3,162,142.73,280.36,-34.246
0,3,163,141.62,288.3,-34.411
0,3,164,140.95,297.39,-35.502
0,3,165,139.55,302.44,-36.284
0,3,166,137.84,310.72,-37.481
0,3,167,134.83,317.55,-37.839
0,3,168,132.68,326.49,-38.677
0,3,169,129.65,334.07,-39.719
0,3,170,126.85,341.42,-41.185
0,3,171,124.3,350.77,-42.401
0,3,172,121.1,357.77,-43.442
0,3,173,118.63,366.51,-43.385
0,3,174,115.4,375.48,-43.576
0,3,175,112.1,383.8,-43.725
0,3,176,108.77,393.75,-44.016
0,3,177,105.42,403.63,-43.991
0,3,178,102.32,411.86,-43.493
0,3,179,97.81,419.74,-42.962
0,3,180,95.047,425.95,-42.88
0,3,181,90.699,434.96,-41.976
0,3,182,85.995,441.39,-41.681
0,3,183,80.884,451.27,-42.774
0,3,184,75.213,457.8,-42.908
0,3,185,69.628,464.34,-43.734
0,3,186,63.886,470.65,-44.281
0,3,187,56.931,476.01,-43.316
0,3,188,50.569,480.48,-43.125
0,3,189,43.573,488.13,-41.948
0,3,190,35.673,496.29,-40.736
0,3,191,28.683,501.39,-41.119
0,3,192,21.465,506.23,-39.904
0,3,193,13.89,509.76,-38.316
0,3,194,11.722,510.47,-37.932
0,3,195,1.3307,516.62,-37.996
0,3,196,-6.8199,517.41,-39.082
0,3,197,-14.826,520.92,-38.277
0,3,198,-22.698,527.02,-37.072
0,3,199,-29.647,527.05,-36.922
0,3,200,-37.644,529.39,-35.007
0,3,201,-45.609,528.92,-35.187
0,3,202,-52.894,530.32,-34.46
0,3,203,-44.103,556.89,-39.83
0,3,204,-13.432,516.41,-32.039
0,3,205,-75.646,529.94,-48.307
0,3,206,-81.05,530.0,-46.976
0,3,207,-85.651,530.37,-45.105
0,3,208,-90.375,527.72,-47.358
0,3,209,-92.699,529.78,-45.411
0,3,210,-95.061,528.91,-45.344
0,3,211,-96.827,525.74,-44.989
0,3,212,-97.727,524.55,-44.072
0,3,213,-98.568,526.68,-45.164
0,3,214,-98.463,526.02,-46.008
0,3,215,-98.454,526.15,-46.104
0,3,216,-98.418,526.54,-46.006
0,3,217,-98.34,526.28,-46.134
0,3,218,-97.88,525.7,-46.138
0,3,219,-97.377,525.05,-46.462
0,4,0,34.544,501.13,-101.53
0,4,1,35.731,502.84,-100.36
0,4,2,37.067,504.16,-99.13
0,4,3,38.129,504.65,-98.974
0,4,4,41.016,507.17,-99.061
0,4,5,45.595,508.48,-102.73
0,4,6,48.332,510.21,-105.51
0,4,7,48.479,511.44,-104.41
0,4,8,48.82,512.63,-103.59
0,4,9,48.816,515.68,-102.64
0,4,10,46.834,521.96,-101.73
0,4,11,43.044,524.59,-101.91
0,4,12,38.148,530.58,-100.26
0,4,13,27.005,536.72,-100.92
0,4,14,15.31,537.66,-100.63
0,4,15,-0.078697,535.45,-93.627
0,4,16,-13.69,532.6,-96.316
0,4,17,-29.006,523.56,-95.967
0,4,18,-45.272,513.23,-96.732
0,4,19,-60.389,493.94,-98.099
0,4,20,-69.965,482.59,-97.453
0,4,21,-80.226,460.56,-94.389
0,4,22,-91.121,439.15,-91.418
0,4,23,-93.885,432.05,-89.371
0,4,24,-106.05,387.73,-80.554
0,4,25,-108.33,361.93,-73.365
0,4,26,-109.88,330.44,-69.582
0,4,27,-109.35,302.14,-63.935
0,4,28,-107.23,273.32,-58.883
0,4,29,-102.18,244.57,-54.948
0,4,30,-95.575,220.44,-50.657
0,4,31,-87.167,197.95,-49.202
0,4,32,-80.608,185.9,-48.004
0,4,33,-66.134,166.99,-47.78
0,4,34,-57.777,159.72,-48.621
0,4,35,-44.897,152.95,-51.113
0,4,36,-31.916,149.86,-54.447
0,4,37,-19.023,149.99,-58.765
0,4,38,-6.0676,155.27,-64.408
0,4,39,6.9223,165.75,-70.555
0,4,40,19.659,180.69,-78.246
0,4,41,31.31,198.0,-84.033
0,4,42,42.22,217.72,-90.137
0,4,43,52.35,238.37,-96.099
0,4,44,61.38,260.44,-100.75
0,4,45,68.419,284.04,-104.77
0,4,46,72.069,299.33,-107.77
0,4,47,76.599,323.68,-109.95
0,4,48,78.896,348.29,-112.16
0,4,49,78.785,367.37,-114.31
0,4,50,76.889,383.14,-116.08
0,4,51,73.261,401.33,-118.09
0,4,52,67.714,421.81,-118.62
0,4,53,60.439,437.98,-121.33
0,4,54,52.626,453.63,-124.28
0,4,55,43.178,470.43,-124.91
0,4,56,33.271,485.14,-120.41
0,4,57,21.455,496.13,-120.64
0,4,58,9.4674,507.33,-117.32
0,4,59,1.5005,510.83,-117.43
0,4,60,-11.761,517.36,-110.85
0,4,61,-25.176,519.83,-108.25
0,4,62,-38.548,522.71,-105.99
0,4,63,-49.802,525.3,-108.59
0,4,64,-58.781,524.25,-107.19
0,4,65,-65.495,525.31,-102.99
0,4,66,-70.424,524.41,-99.431
0,4,67,-77.77,523.14,-95.889
0,4,68,-82.496,521.55,-94.887
0,4,69,-85.979,518.66,-97.904
0,4,70,-87.296,519.98,-96.856
0,4,71,-88.484,520.2,-96.044
0,4,72,-89.025,519.24,-95.899
0,4,73,-89.339,517.97,-94.369
0,4,74,-89.18,517.42,-93.474
0,4,75,-89.002,516.81,-93.243
0,5,0,-37.598,319.47,-19.287
0,5,1,-37.697,319.39,-19.261
0,5,2,-37.966,319.14,-19.62
0,5,3,-38.168,319.02,-19.938
0,5,4,-38.396,318.96,-20.043
0,5,5,-38.622,318.89,-20.085
0,5,6,-38.967,318.72,-20.179
0,5,7,-39.333,318.29,-20.363
0,5,8,-40.007,317.87,-20.646
0,5,9,-40.601,317.59,-20.95
0,5,10,-41.01,317.38,-21.155
0,5,11,-41.984,316.96,-21.45
0,5,12,-44.416,315.32,-21.724
0,5,13,-47.065,313.34,-21.885
0,5,14,-50.805,309.6,-23.159
0,5,15,-61.332,334.58,-70.408
0,5,16,-69.842,324.31,-69.158
0,5,17,-82.961,302.75,-67.42
0,5,18,-92.26,276.37,-64.245
0,5,19,-98.998,246.77,-60.75
0,5,20,-101.84,215.79,-55.735
0,5,21,-99.923,186.22,-50.376
0,5,22,-94.948,158.47,-46.773
0,5,23,-85.329,133.8,-43.382
0,5,24,-72.562,111.54,-41.237
0,5,25,-55.535,96.028,-40.971
0,5,26,-34.029,87.398,-41.316
0,5,27,-18.764,84.76,-42.661
0,5,28,14.021,88.362,-50.677
0,5,29,37.047,98.817,-57.174
0,5,30,56.377,117.43,-63.762
0,5,31,66.856,134.83,-69.025
0,5,32,76.396,164.85,-76.206
0,5,33,77.974,198.93,-79.399
0,5,34,72.98,233.37,-82.369
0,5,35,62.621,268.03,-84.165
0,5,36,47.617,297.58,-83.258
0,5,37,29.195,322.6,-80.463
0,5,38,8.9462,340.82,-77.34
0,5,39,-12.069,355.28,-75.142
0,5,40,-29.288,363.88,-70.478
0,5,41,-43.745,366.71,-65.711
0,5,42,-51.664,367.92,-64.551
0,5,43,-60.632,369.72,-65.215
0,5,44,-63.312,370.44,-63.922
0,5,45,-64.226,371.15,-63.459
0,5,46,-64.517,371.41,-63.575
0,5,47,-64.512,371.03,-63.829
